Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
53,Male,127500,Associate's Degree,Married,0,Owned,High
28,Male,75000,Bachelor's Degree,Single,0,Rented,Average
33,Female,82000,Master's Degree,Married,1,Owned,High
31,Male,95000,Doctorate,Single,0,Rented,High
26,Female,55000,Bachelor's Degree,Married,1,Owned,Average
32,Male,85000,Master's Degree,Single,0,Rented,High
29,Female,68000,Doctorate,Married,2,Owned,Average
34,Male,105000,Bachelor's Degree,Married,1,Rented,High
29,Female,67960,Bachelor's Degree,Married,1,Owned,Average
34,Male,45144,Associate's Degree,Single,0,Rented,Average
29,Male,70775,Bachelor's Degree,Single,0,Rented,Average
29,Female,55963,Associate's Degree,Single,0,Rented,Average
31,Male,67460,Bachelor's Degree,Single,0,Rented,Average
26,Female,60000,Bachelor's Degree,Single,0,Rented,Average
32,Female,45000,Associate's Degree,Single,0,Rented,Average
30,Female,65950,Bachelor's Degree,Married,0,Owned,Average
30,Female,51524,Bachelor's Degree,Single,0,Rented,Average
31,Male,67917,Bachelor's Degree,Single,0,Rented,Average
31,Male,66199,Bachelor's Degree,Single,0,Rented,Average
31,Male,64567,Bachelor's Degree,Single,0,Rented,Average
31,Male,69088,Bachelor's Degree,Single,0,Rented,Average
31,Female,53111,Doctorate,Married,0,Owned,Average
27,Female,65661,Bachelor's Degree,Married,1,Owned,Average
33,Male,46039,Associate's Degree,Single,0,Rented,Average
26,Female,44257,Associate's Degree,Single,0,Rented,Average
34,Male,45078,Associate's Degree,Single,0,Rented,Average
33,Male,49605,Doctorate,Single,0,Rented,Average
29,Female,42248,Associate's Degree,Single,0,Rented,Average
31,Male,68024,Bachelor's Degree,Single,0,Rented,Average
32,Female,52683,Doctorate,Single,0,Rented,Average
29,Female,67181,Bachelor's Degree,Married,1,Owned,Average
28,Female,41632,Associate's Degree,Single,0,Rented,Average
28,Female,58573,Associate's Degree,Single,0,Rented,Average
28,Female,58802,Bachelor's Degree,Single,0,Rented,Average
26,Female,45000,Associate's Degree,Single,0,Rented,Average
32,Female,47111,Associate's Degree,Single,0,Rented,Average
25,Female,60631,Bachelor's Degree,Single,0,Rented,Average
25,Female,58849,Bachelor's Degree,Single,0,Rented,Average
34,Male,46466,Associate's Degree,Single,0,Rented,Average
28,Male,74826,Bachelor's Degree,Single,0,Rented,Average
28,Female,50982,Bachelor's Degree,Single,0,Rented,Average
28,Male,73620,Bachelor's Degree,Single,0,Rented,Average
25,Female,56759,Bachelor's Degree,Married,0,Owned,Average
32,Male,57086,Associate's Degree,Single,0,Rented,Average
28,Female,74890,Bachelor's Degree,Married,0,Owned,Average
27,Female,58558,Bachelor's Degree,Single,0,Rented,Average
27,Female,64474,Bachelor's Degree,Single,0,Rented,Average
29,Female,55733,Associate's Degree,Single,0,Rented,Average
25,Female,59964,Bachelor's Degree,Single,0,Rented,Average
25,Female,59502,Bachelor's Degree,Single,0,Rented,Average
32,Male,54278,Associate's Degree,Single,0,Rented,Average
25,Female,58024,Bachelor's Degree,Single,0,Rented,Average
29,Female,47500,Associate's Degree,Single,0,Rented,Average
26,Female,45184,Associate's Degree,Single,0,Rented,Average
29,Female,58372,Associate's Degree,Single,0,Rented,Average
26,Female,46862,Associate's Degree,Single,0,Rented,Average
30,Female,67574,Bachelor's Degree,Married,0,Owned,Average
30,Female,47500,Associate's Degree,Single,0,Rented,Average
31,Male,59761,Associate's Degree,Single,0,Rented,Average
31,Female,45000,Associate's Degree,Single,0,Rented,Average
31,Male,69172,Bachelor's Degree,Single,0,Rented,Average
31,Male,61670,Bachelor's Degree,Single,0,Rented,Average
28,Female,29960,Associate's Degree,Single,0,Rented,Low
27,Female,34613,High School Diploma,Single,0,Rented,Low
28,Female,29307,High School Diploma,Single,0,Rented,Low
27,Female,33540,High School Diploma,Single,0,Rented,Low
29,Female,26524,High School Diploma,Single,0,Rented,Low
27,Female,34165,Doctorate,Single,0,Rented,Low
28,Female,28800,High School Diploma,Single,0,Rented,Low
28,Female,31522,Associate's Degree,Single,0,Rented,Low
28,Female,29544,Associate's Degree,Single,0,Rented,Low
29,Female,25611,High School Diploma,Single,0,Rented,Low
27,Female,33248,High School Diploma,Single,0,Rented,Low
28,Female,31460,Associate's Degree,Single,0,Rented,Low
29,Female,26419,High School Diploma,Single,0,Rented,Low
29,Female,25078,High School Diploma,Single,0,Rented,Low
27,Female,36711,Doctorate,Single,0,Rented,Low
28,Female,31375,Associate's Degree,Single,0,Rented,Low
27,Female,32036,High School Diploma,Single,0,Rented,Low
27,Female,34633,Doctorate,Single,0,Rented,Low
27,Female,36136,Doctorate,Single,0,Rented,Low
27,Female,33367,Doctorate,Single,0,Rented,Low
27,Female,33926,Bachelor's Degree,Single,0,Rented,Low
28,Female,31197,Associate's Degree,Single,0,Rented,Low
27,Female,32597,Associate's Degree,Single,0,Rented,Low
27,Female,36722,Doctorate,Single,0,Rented,Low
28,Female,28736,Associate's Degree,Single,0,Rented,Low
27,Female,32896,High School Diploma,Single,0,Rented,Low
28,Female,31466,Associate's Degree,Single,0,Rented,Low
27,Female,32586,Associate's Degree,Single,0,Rented,Low
28,Female,30535,Bachelor's Degree,Single,0,Rented,Low
28,Female,31810,Associate's Degree,Single,0,Rented,Low
27,Female,35740,High School Diploma,Single,0,Rented,Low
28,Female,25826,Doctorate,Single,0,Rented,Low
29,Female,27460,High School Diploma,Single,0,Rented,Low
27,Female,33558,Bachelor's Degree,Single,0,Rented,Low
28,Female,30461,High School Diploma,Single,0,Rented,Low
28,Female,26467,Doctorate,Single,0,Rented,Low
28,Female,32394,Associate's Degree,Single,0,Rented,Low
27,Female,36505,Doctorate,Single,0,Rented,Low
28,Female,29278,Associate's Degree,Single,0,Rented,Low
28,Female,29475,Associate's Degree,Single,0,Rented,Low
27,Female,34544,Bachelor's Degree,Single,0,Rented,Low
28,Female,32131,Associate's Degree,Single,0,Rented,Low
28,Female,30755,Bachelor's Degree,Single,0,Rented,Low
27,Female,35212,High School Diploma,Single,0,Rented,Low
27,Female,35625,High School Diploma,Single,0,Rented,Low
28,Female,31994,High School Diploma,Single,0,Rented,Low
28,Female,28454,High School Diploma,Single,0,Rented,Low
28,Female,29635,High School Diploma,Single,0,Rented,Low
27,Female,34188,High School Diploma,Single,0,Rented,Low
28,Female,30840,High School Diploma,Single,0,Rented,Low
28,Female,27956,Bachelor's Degree,Single,0,Rented,Low
28,Female,31126,Associate's Degree,Single,0,Rented,Low
28,Female,30484,High School Diploma,Single,0,Rented,Low
28,Female,29628,Bachelor's Degree,Single,0,Rented,Low
27,Female,30141,Associate's Degree,Single,0,Rented,Low
28,Female,26510,High School Diploma,Single,0,Rented,Low
28,Female,30282,High School Diploma,Single,0,Rented,Low
28,Female,29410,Associate's Degree,Single,0,Rented,Low
28,Female,31859,Associate's Degree,Single,0,Rented,Low
28,Female,29797,Associate's Degree,Single,0,Rented,Low
28,Female,28223,Doctorate,Single,0,Rented,Low
27,Female,36668,Doctorate,Single,0,Rented,Low
27,Female,31704,High School Diploma,Single,0,Rented,Low
28,Female,30987,Associate's Degree,Single,0,Rented,Low
28,Female,31978,Associate's Degree,Single,0,Rented,Low
28,Female,29753,High School Diploma,Single,0,Rented,Low
27,Female,33275,Bachelor's Degree,Single,0,Rented,Low
29,Female,25761,High School Diploma,Single,0,Rented,Low
28,Female,29303,Associate's Degree,Single,0,Rented,Low
